,Time(s),ads_mass(g)
13595,13366.631902,669.5999999999985
13596,13367.631247,668.2000000000044
13597,13368.630966,669.5999999999985
13598,13369.636761,670.0
13599,13370.641361,672.5999999999985
13600,13371.631934,671.8000000000029
13601,13372.640681,666.8000000000029
13602,13373.631792,670.4000000000015
13603,13374.637344,670.5999999999985
13604,13375.645024,669.5999999999985
13605,13376.653232,670.2000000000044
13606,13377.646151,668.4000000000015
13607,13378.65116,669.5999999999985
13608,13379.655108,668.2000000000044
13609,13380.647449,668.2000000000044
13610,13381.654353,668.5999999999985
13611,13382.6603,668.2000000000044
13612,13383.666539,671.4000000000015
13613,13384.660074,670.4000000000015
13614,13385.664914,671.0
13615,13386.67461,670.0
13616,13387.661773,668.8000000000029
13617,13388.669448,668.4000000000015
13618,13389.674703,668.8000000000029
13619,13390.668586,669.4000000000015
13620,13391.673413,669.4000000000015
13621,13392.664544,669.5999999999985
13622,13393.674033,669.8000000000029
13623,13394.661654,669.8000000000029
13624,13395.668146,668.2000000000044
13625,13396.660502,669.2000000000044
13626,13397.665734,668.4000000000015
13627,13398.672586,670.8000000000029
13628,13399.666558,671.8000000000029
13629,13400.670643,669.5999999999985
13630,13401.668219,670.2000000000044
13631,13402.668706,668.4000000000015
13632,13403.665734,668.4000000000015
13633,13404.667229,670.8000000000029
13634,13405.673031,670.0
13635,13406.664653,669.4000000000015
13636,13407.672496,669.4000000000015
13637,13408.661315,669.5999999999985
13638,13409.668619,667.8000000000029
13639,13410.661876,667.2000000000044
13640,13411.666639,668.2000000000044
13641,13412.673113,669.0
13642,13413.668118,669.5999999999985
13643,13414.672045,669.0
13644,13415.661704,669.0
13645,13416.669976,668.8000000000029
13646,13417.660387,669.0
13647,13418.669305,669.8000000000029
13648,13419.673067,669.8000000000029
13649,13420.664772,668.8000000000029
13650,13421.671213,671.5999999999985
13651,13422.665009,670.2000000000044
13652,13423.669109,669.4000000000015
13653,13424.676115,670.2000000000044
13654,13425.686987,670.4000000000015
13655,13426.677278,671.0
13656,13427.680721,669.8000000000029
13657,13428.688727,668.5999999999985
13658,13429.682368,669.4000000000015
13659,13430.686905,670.4000000000015
13660,13431.677449,670.0
13661,13432.684731,671.0
13662,13433.67582,671.2000000000044
13663,13434.680114,669.0
13664,13435.686294,669.0
13665,13436.679618,670.4000000000015
13666,13437.687549,670.2000000000044
13667,13438.678123,669.8000000000029
13668,13439.682918,669.5999999999985
13669,13440.677042,669.5999999999985
13670,13441.680275,674.5999999999985
13671,13442.688324,672.4000000000015
13672,13443.680084,667.4000000000015
13673,13444.690923,669.8000000000029
13674,13445.694118,670.5999999999985
13675,13446.703341,671.2000000000044
13676,13447.693271,671.4000000000015
13677,13448.696838,671.4000000000015
13678,13449.694787,671.2000000000044
13679,13450.697246,668.8000000000029
13680,13451.701435,671.0
13681,13452.696297,670.8000000000029
13682,13453.698601,670.8000000000029
13683,13454.690559,670.2000000000044
13684,13455.696925,670.0
13685,13456.705167,672.8000000000029
13686,13457.695246,673.2000000000044
13687,13458.70286,669.8000000000029
13688,13459.696103,669.5999999999985
13689,13460.699572,670.4000000000015
13690,13461.691823,670.5999999999985
13691,13462.698074,666.8000000000029
13692,13463.704779,669.4000000000015
13693,13464.69446,668.5999999999985
13694,13465.70165,670.8000000000029
13695,13466.695484,670.5999999999985
13696,13467.70317,674.5999999999985
13697,13468.7058,672.0
13698,13469.698815,670.5999999999985
13699,13470.705231,672.2000000000044
13700,13471.694957,670.4000000000015
13701,13472.706155,670.8000000000029
13702,13473.690882,670.2000000000044
13703,13474.702061,670.5999999999985
13704,13475.706674,670.4000000000015
13705,13476.713091,670.5999999999985
13706,13477.715044,670.4000000000015
13707,13478.711409,672.2000000000044
13708,13479.719888,669.2000000000044
13709,13480.708156,670.2000000000044
13710,13481.720414,671.5999999999985
13711,13482.710881,671.4000000000015
13712,13483.713358,672.2000000000044
13713,13484.707391,669.0
13714,13485.721926,673.4000000000015
13715,13486.736926,672.2000000000044
13716,13487.725389,669.4000000000015
13717,13488.732232,672.0
13718,13489.725093,671.0
13719,13490.729856,670.8000000000029
13720,13491.724413,671.0
13721,13492.726921,671.2000000000044
13722,13493.734242,671.4000000000015
13723,13494.727191,671.5999999999985
13724,13495.732653,671.5999999999985
13725,13496.725763,671.5999999999985
13726,13497.72988,671.4000000000015
13727,13498.73652,669.4000000000015
13728,13499.728496,668.8000000000029
13729,13500.734389,670.0
13730,13501.726341,670.4000000000015
13731,13502.732571,670.8000000000029
13732,13503.724765,670.5999999999985
13733,13504.729245,670.0
13734,13505.736063,669.8000000000029
13735,13506.728259,671.4000000000015
13736,13507.736489,673.2000000000044
13737,13508.726504,673.4000000000015
13738,13509.735869,671.5999999999985
13739,13510.725456,670.4000000000015
13740,13511.730859,669.5999999999985
13741,13512.736537,670.5999999999985
13742,13513.72717,671.0
13743,13514.734218,671.2000000000044
13744,13515.726196,671.0
13745,13516.734614,670.5999999999985
13746,13517.726292,671.0
13747,13518.733977,669.0
13748,13519.738114,671.0
13749,13520.741509,671.4000000000015
13750,13521.741095,665.8000000000029
13751,13522.738945,670.0
13752,13523.747197,670.4000000000015
13753,13524.740508,669.2000000000044
13754,13525.745134,670.2000000000044
13755,13526.738239,669.5999999999985
13756,13527.743145,671.0
13757,13528.73936,671.8000000000029
13758,13529.74159,672.8000000000029
13759,13530.748939,672.5999999999985
13760,13531.740147,669.5999999999985
13761,13532.746171,670.2000000000044
13762,13533.746296,671.5999999999985
13763,13534.74674,671.0
13764,13535.750301,670.4000000000015
13765,13536.742156,670.5999999999985
13766,13537.743714,671.0
13767,13538.739656,671.4000000000015
13768,13539.746998,672.0
13769,13540.753236,671.5999999999985
13770,13541.759498,673.4000000000015
13771,13542.768371,673.4000000000015
13772,13543.759318,671.5999999999985
13773,13544.764693,672.4000000000015
13774,13545.755734,666.2000000000044
13775,13546.764104,671.5999999999985
13776,13547.768927,671.4000000000015
13777,13548.77744,671.4000000000015
13778,13549.78378,672.2000000000044
13779,13550.773492,672.2000000000044
13780,13551.780262,672.2000000000044
13781,13552.772813,672.2000000000044
13782,13553.778383,673.0
13783,13554.770576,672.0
13784,13555.777439,672.0
13785,13556.783053,670.8000000000029
13786,13557.774412,670.8000000000029
13787,13558.781155,670.8000000000029
13788,13559.772594,671.4000000000015
13789,13560.781009,670.0
13790,13561.770186,671.8000000000029
13791,13562.776624,670.0
13792,13563.786038,671.4000000000015
13793,13564.788449,670.5999999999985
13794,13565.797006,671.5999999999985
13795,13566.786969,673.4000000000015
13796,13567.795026,672.2000000000044
13797,13568.785061,672.5999999999985
13798,13569.796251,673.8000000000029
13799,13570.80054,671.4000000000015
13800,13571.811057,672.4000000000015
13801,13572.812586,671.5999999999985
13802,13573.803977,672.8000000000029
13803,13574.811629,672.2000000000044
13804,13575.804026,671.0
13805,13576.808684,669.5999999999985
13806,13577.801545,670.0
13807,13578.805083,671.4000000000015
13808,13579.815526,670.0
13809,13580.806038,669.8000000000029
13810,13581.801101,672.8000000000029
13811,13582.801582,674.2000000000044
13812,13583.807831,673.8000000000029
13813,13584.815722,673.4000000000015
13814,13585.826293,672.2000000000044
13815,13586.816608,670.8000000000029
13816,13587.820252,671.8000000000029
13817,13588.828768,671.4000000000015
13818,13589.817659,674.2000000000044
13819,13590.826285,673.5999999999985
13820,13591.817348,671.2000000000044
13821,13592.822246,672.2000000000044
13822,13593.824736,673.8000000000029
13823,13594.820893,673.4000000000015
13824,13595.827147,673.4000000000015
13825,13596.817486,672.2000000000044
13826,13597.824902,676.2000000000044
13827,13598.831899,671.8000000000029
13828,13599.839272,670.5999999999985
13829,13600.833085,673.5999999999985
13830,13601.836643,673.2000000000044
13831,13602.846038,673.4000000000015
13832,13603.834125,672.5999999999985
13833,13604.842146,671.4000000000015
13834,13605.836304,670.8000000000029
13835,13606.841607,671.0
13836,13607.847348,671.5999999999985
13837,13608.855691,671.8000000000029
13838,13609.858929,672.0
13839,13610.852933,673.2000000000044
13840,13611.857163,673.2000000000044
13841,13612.849986,674.0
13842,13613.853595,670.8000000000029
13843,13614.849571,672.4000000000015
13844,13615.854982,673.2000000000044
13845,13616.851387,671.4000000000015
13846,13617.849311,674.0
13847,13618.857429,672.5999999999985
13848,13619.850443,671.8000000000029
13849,13620.855703,671.8000000000029
13850,13621.848303,672.4000000000015
13851,13622.852526,671.8000000000029
13852,13623.860903,671.4000000000015
13853,13624.855404,671.0
13854,13625.858212,671.5999999999985
13855,13626.848436,671.8000000000029
13856,13627.854603,673.5999999999985
13857,13628.861884,674.0
13858,13629.857228,673.2000000000044
13859,13630.859706,674.8000000000029
